1630561052.7718315,-7707,-2501,-875,20,71,47
1630561052.7718315,-7707,-2501,-873,27,74,25
1630561052.7718315,-7708,-2502,-879,31,74,13
1630561052.7718315,-7691,-2499,-867,33,74,10
1630561052.7718315,-7698,-2521,-856,23,79,-12
1630561052.7718315,-7665,-2528,-875,3,77,-12
1630561052.7718315,-7711,-2602,-846,21,56,14
1630561052.7718315,-7674,-2556,-878,47,56,35
1630561052.7718315,-7651,-2557,-868,34,70,14
1630561052.7718315,-7656,-2562,-856,21,75,7
1630561052.7718315,-7684,-2585,-860,17,78,24
1630561052.7718315,-7658,-2580,-860,10,81,13
1630561052.7718315,-7659,-2596,-859,28,72,21
1630561052.7718315,-7681,-2596,-869,25,78,27
1630561052.7718315,-7666,-2596,-847,32,78,38
1630561052.7718315,-7661,-2556,-857,44,94,60
1630561052.7718315,-7689,-2568,-847,33,102,53
1630561052.7718315,-7679,-2560,-863,26,85,55
1630561052.7718315,-7661,-2585,-879,11,86,41
1630561052.7718315,-7667,-2598,-885,19,86,43
1630561052.7718315,-7667,-2597,-902,27,91,41
1630561052.7718315,-7661,-2602,-894,30,90,45
1630561052.7718315,-7670,-2595,-872,42,83,49
1630561052.7718315,-7661,-2581,-872,44,81,55
1630561052.7718315,-7682,-2574,-860,39,90,49
1630561052.7718315,-7651,-2541,-886,25,88,50
1630561052.7718315,-7729,-2602,-863,31,71,73
1630561052.7718315,-7677,-2556,-883,45,60,85
1630561052.7718315,-7647,-2545,-856,39,73,49
1630561052.7718315,-7657,-2559,-863,35,87,42
1630561052.772828,-7704,-2554,-867,25,88,52
1630561052.772828,-7665,-2563,-869,2,88,24
1630561052.772828,-7665,-2585,-874,24,74,30
1630561052.772828,-7670,-2587,-874,20,84,37
1630561052.772828,-7656,-2587,-882,21,76,36
1630561052.772828,-7650,-2580,-877,27,79,32
1630561052.772828,-7664,-2560,-880,39,91,37
1630561052.772828,-7687,-2553,-882,29,95,37
1630561052.772828,-7679,-2564,-887,8,81,29
1630561052.772828,-7664,-2577,-877,11,82,20
1630561052.772828,-7659,-2595,-875,13,90,29
1630561052.772828,-7664,-2586,-891,22,85,35
1630561052.772828,-7669,-2575,-883,31,78,43
1630561052.772828,-7667,-2584,-875,25,83,39
1630561052.772828,-7652,-2563,-904,10,81,37
1630561052.772828,-7705,-2613,-862,15,67,57
1630561052.772828,-7684,-2555,-891,39,59,78
1630561052.772828,-7651,-2548,-875,19,72,49
1630561052.772828,-7661,-2568,-875,6,74,25
1630561052.772828,-7684,-2585,-871,9,77,41
1630561052.772828,-7664,-2583,-886,2,81,27
1630561052.772828,-7663,-2589,-877,19,67,34
1630561052.772828,-7674,-2582,-882,12,73,43
1630561052.772828,-7670,-2590,-880,14,75,51
1630561052.772828,-7666,-2578,-878,25,75,47
1630561052.772828,-7668,-2559,-884,23,79,47
1630561052.772828,-7668,-2565,-889,9,80,44
1630561052.772828,-7670,-2572,-882,1,73,44
1630561052.772828,-7663,-2587,-877,8,70,45
1630561052.772828,-7659,-2578,-885,17,76,53
1630561052.772828,-7667,-2573,-876,13,76,58
1630561052.772828,-7674,-2568,-884,15,78,60
1630561052.772828,-7665,-2552,-873,21,79,60
1630561052.772828,-7674,-2555,-883,14,85,53
1630561052.772828,-7672,-2542,-896,-1,84,46
1630561052.772828,-7708,-2583,-873,26,58,79
1630561052.772828,-7676,-2529,-885,45,65,74
1630561052.772828,-7670,-2530,-885,31,71,37
1630561052.772828,-7665,-2540,-878,15,76,26
1630561052.7738628,-7680,-2553,-885,12,80,40
1630561052.7738628,-7658,-2564,-878,4,84,27
1630561052.7738628,-7664,-2561,-885,17,75,49
1630561052.7738628,-7683,-2571,-883,13,82,62
1630561052.7738628,-7677,-2548,-870,26,77,58
1630561052.7738628,-7683,-2526,-881,32,80,60
1630561052.7738628,-7687,-2510,-887,22,84,50
1630561052.7738628,-7692,-2517,-889,3,83,47
1630561052.7738628,-7691,-2546,-890,7,80,37
1630561052.7738628,-7679,-2546,-881,17,81,43
1630561052.7738628,-7675,-2550,-893,25,82,39
1630561052.7738628,-7675,-2536,-890,25,78,42
1630561052.7738628,-7677,-2534,-890,18,78,43
1630561052.7738628,-7681,-2530,-870,16,83,46
1630561052.7738628,-7683,-2527,-882,7,87,35
1630561052.7738628,-7663,-2523,-905,-2,82,33
1630561052.7738628,-7718,-2579,-882,14,70,51
1630561052.7738628,-7687,-2526,-901,47,62,84
1630561052.7738628,-7662,-2518,-888,32,74,60
1630561052.7738628,-7675,-2520,-883,18,75,37
1630561052.7738628,-7692,-2533,-883,15,85,48
1630561052.7738628,-7671,-2514,-901,-1,85,43
1630561052.7738628,-7683,-2549,-883,7,78,35
1630561052.7738628,-7698,-2529,-900,12,83,51
1630561052.7738628,-7689,-2513,-903,12,78,62
1630561052.7738628,-7697,-2517,-895,33,79,56
1630561052.7738628,-7700,-2491,-893,40,89,54
1630561052.7738628,-7698,-2496,-906,32,90,21
1630561052.7738628,-7695,-2537,-897,14,84,10
1630561052.7738628,-7669,-2553,-896,25,81,10
1630561052.7738628,-7672,-2562,-896,45,88,13
1630561052.7738628,-7674,-2551,-898,42,87,22
1630561052.7738628,-7663,-2564,-894,36,81,31
1630561052.7738628,-7673,-2554,-901,39,83,28
1630561052.7738628,-7672,-2547,-900,37,86,23
1630561052.7738628,-7667,-2541,-908,34,82,16
1630561052.7738628,-7654,-2578,-900,6,82,20
1630561052.7758625,-7708,-2601,-902,42,65,65
1630561052.7758625,-7649,-2563,-897,49,70,68
1630561052.7758625,-7650,-2567,-885,59,75,32
1630561052.7758625,-7674,-2556,-889,47,86,32
1630561052.7758625,-7660,-2557,-890,38,80,40
1630561052.7758625,-7659,-2606,-874,23,83,17
1630561052.7758625,-7662,-2594,-890,40,73,33
1630561052.7758625,-7666,-2592,-883,27,79,35
1630561052.7758625,-7645,-2588,-882,25,77,30
1630561052.7758625,-7657,-2596,-876,36,86,57
1630561052.7758625,-7664,-2563,-881,29,96,81
1630561052.7768161,-7664,-2571,-887,7,92,96
1630561052.7768161,-7671,-2565,-905,-10,92,120
1630561052.7768161,-7689,-2555,-926,-57,105,232
1630561052.7768161,-7684,-2535,-930,-165,133,550
1630561052.7768161,-7459,-2550,-834,-277,203,1002
1630561052.7768161,-7475,-2362,-866,-196,340,1368
1630561052.7768161,-7534,-2010,-958,-209,503,1663
1630561052.7768161,-7643,-1553,-1097,-200,532,1771
1630561052.7768161,-7848,-1162,-1232,-154,557,1627
1630561052.7768161,-8112,-520,-1493,-27,583,1306
1630561052.7768161,-8203,-109,-1729,41,585,964
1630561052.7768161,-8279,135,-1862,65,539,534
1630561052.7768161,-8383,265,-1983,86,307,107
1630561052.7768161,-8316,242,-1995,85,55,-184
1630561052.7768161,-8284,121,-1897,134,-121,-520
1630561052.7768161,-8235,-152,-1792,261,-195,-876
1630561052.7768161,-8216,-445,-1701,429,-258,-1377
1630561052.7768161,-8115,-897,-1538,530,-373,-1760
1630561052.7768161,-7928,-1415,-1326,599,-511,-2055
1630561052.7768161,-7682,-1938,-1147,581,-595,-2072
1630561052.7768161,-7426,-2655,-868,451,-581,-1755
1630561052.7768161,-7199,-3064,-665,322,-453,-1326
1630561052.7768161,-7104,-3352,-565,259,-236,-915
1630561052.7768161,-7136,-3557,-526,222,-23,-603
1630561052.7768161,-7177,-3581,-575,138,61,-356
1630561052.7768161,-7190,-3568,-610,53,36,-198
1630561052.7778127,-7184,-3540,-631,-12,46,-39
1630561052.7778127,-7215,-3454,-682,-54,99,127
1630561052.7778127,-7362,-3392,-703,-84,132,257
1630561052.7778127,-7450,-3336,-755,-17,118,330
1630561052.7778127,-7482,-3241,-753,29,136,304
1630561052.7778127,-7472,-3169,-755,46,113,194
1630561052.7778127,-7454,-3167,-737,16,94,163
1630561052.7778127,-7395,-3198,-692,6,100,184
1630561052.7778127,-7411,-3207,-673,-3,115,254
1630561052.7778127,-7437,-3201,-701,-93,159,569
1630561052.7778127,-7395,-2950,-730,-237,309,1293
1630561052.7778127,-7505,-2843,-704,-347,499,1914
1630561052.7778127,-7173,-2590,-760,-388,705,2557
1630561052.7778127,-7204,-1936,-944,-430,890,2630
1630561052.7778127,-7518,-1198,-1164,-485,1001,2763
1630561052.7778127,-7877,-366,-1598,-309,952,2337
1630561052.7778127,-8536,565,-2079,-163,752,1652
1630561052.7778127,-8627,1011,-2334,-52,431,730
1630561052.7778127,-8439,1214,-2355,84,127,-121
1630561052.7778127,-8242,1074,-2236,141,-11,-640
1630561052.7778127,-8282,725,-2117,222,-136,-1188
1630561052.7778127,-8385,365,-2022,310,-330,-1653
1630561052.7778127,-8110,-185,-1783,294,-457,-1878
1630561052.7778127,-7843,-932,-1432,283,-495,-1863
1630561052.7778127,-7688,-1604,-1192,141,-446,-1745
1630561052.7778127,-7460,-2071,-1112,6,-371,-1466
1630561052.7778127,-7281,-2451,-1131,-81,-234,-1121
1630561052.7778127,-7261,-2732,-1207,-160,-69,-804
1630561052.7778127,-7232,-2888,-1390,-214,30,-536
1630561052.7778127,-7451,-3009,-1463,-231,78,-286
1630561052.7778127,-7601,-2989,-1340,-110,75,-8
1630561052.7778127,-7539,-2797,-1285,132,59,134
1630561052.7778127,-7526,-2641,-1230,191,74,72
1630561052.7778127,-7558,-2590,-1157,154,55,56
1630561052.7778127,-7546,-2551,-1143,111,51,118
1630561052.7778127,-7551,-2517,-1229,5,73,112
1630561052.7778127,-7687,-2567,-1255,-52,42,110
1630561052.7778127,-7745,-2636,-1180,0,-4,153
1630561052.7788103,-7624,-2550,-1115,129,14,160
1630561052.7788103,-7600,-2421,-1152,183,96,114
1630561052.7788103,-7772,-2487,-1110,94,122,143
1630561052.7788103,-7871,-2494,-1087,113,82,330
1630561052.7788103,-7550,-2467,-1249,152,151,358
1630561052.7788103,-7509,-2283,-1428,176,253,167
1630561052.7788103,-7766,-2306,-1437,205,203,89
1630561052.7858303,-7871,-2296,-1530,190,37,91
1630561052.786792,-7876,-2352,-973,97,-168,101
1630561052.8959892,-7637,-2370,-705,-14,-209,48
1630561052.8979461,-7472,-2265,-755,-84,-56,-12
1630561052.8999333,-7545,-2126,-1015,-170,230,85
